MeasurementID,OccurrenceID,MeasurementOfTaxon,AssociationID,ParentMeasurementID,MeasurementType,MeasurementValue,Unit,Accuracy,StatisticalMethod,DeterminedDate,DeterminedBy,MeasurementMethod,Remarks,Source,Citation,Contributor,ReferenceID
1,Acris_crepitans,yes,,,"snout to vent length - male",35,http://purl.obolibrary.org/obo/UO_0000016,,http://semanticscience.org/resource/SIO_001114.rdf,,,,,,,,
1,Acris_crepitans,yes,,,"snout to vent length - male",25.5,http://purl.obolibrary.org/obo/UO_0000016,,http://semanticscience.org/resource/SIO_001109.rdf,,,,,,,,
2,Aerugoamnis_paulus,yes,,,"snout to vent length - male",19.3,http://purl.obolibrary.org/obo/UO_0000016,,http://semanticscience.org/resource/SIO_001113.rdf,,,,,,,,
2,Aerugoamnis_paulus,yes,,,"snout to vent length - male",19.3,http://purl.obolibrary.org/obo/UO_0000016,,http://semanticscience.org/resource/SIO_001114.rdf,,,,,,,,
3,Ameerega_altamazonica,yes,,,"snout to vent length - male",22.9,http://purl.obolibrary.org/obo/UO_0000016,,http://semanticscience.org/resource/SIO_001114.rdf,,,,,,,,
3,Ameerega_altamazonica,yes,,,"snout to vent length - male",20.5,http://purl.obolibrary.org/obo/UO_0000016,,http://semanticscience.org/resource/SIO_001109.rdf,,,,,,,,
4,Cardioglossa_elegans,yes,,,"snout to vent length - male",23.9,http://purl.obolibrary.org/obo/UO_0000016,,http://semanticscience.org/resource/SIO_001114.rdf,,,,,,,,
4,Cardioglossa_elegans,yes,,,"snout to vent length - female",35.3,http://purl.obolibrary.org/obo/UO_0000016,,http://semanticscience.org/resource/SIO_001114.rdf,,,,,,,,
5,Dendropsophus_parviceps,yes,,,"snout to vent length - male",18.3,http://purl.obolibrary.org/obo/UO_0000016,,http://semanticscience.org/resource/SIO_001114.rdf,,,,,,,,
5,Dendropsophus_parviceps,yes,,,"snout to vent length - female",26.1,http://purl.obolibrary.org/obo/UO_0000016,,http://semanticscience.org/resource/SIO_001114.rdf,,,,,,,,
6,Gephyromantis_eiselti,yes,,,"snout to vent length - male",21.5,http://purl.obolibrary.org/obo/UO_0000016,,http://semanticscience.org/resource/SIO_001114.rdf,,,,,,,,
7,Gerrothorax_pulcherrimus,yes,,,"snout to vent length - male",1000,http://purl.obolibrary.org/obo/UO_0000016,,http://semanticscience.org/resource/SIO_001113.rdf,,,,,,,,
7,Gerrothorax_pulcherrimus,yes,,,"snout to vent length - male",3000,http://purl.obolibrary.org/obo/UO_0000016,,http://semanticscience.org/resource/SIO_001114.rdf,,,,,,,,
8,Kassi_senegalensis,yes,,,"snout to vent length - male",32.5,http://purl.obolibrary.org/obo/UO_0000016,,http://semanticscience.org/resource/SIO_001114.rdf,,,,,,,,
8,Kassi_senegalensis,yes,,,"snout to vent length - male",49,http://purl.obolibrary.org/obo/UO_0000016,,http://semanticscience.org/resource/SIO_001109.rdf,,,,,,,,
9,Kurixalus_appendiculatus,yes,,,"snout to vent length - male",37,http://purl.obolibrary.org/obo/UO_0000016,,http://semanticscience.org/resource/SIO_001114.rdf,,,,,,,,
9,Kurixalus_appendiculatus,yes,,,"snout to vent length - male",33.5,http://purl.obolibrary.org/obo/UO_0000016,,http://semanticscience.org/resource/SIO_001109.rdf,,,,,,,,
10,Odontophrynus_americanus,yes,,,"snout to vent length - male",45,http://purl.obolibrary.org/obo/UO_0000016,,http://semanticscience.org/resource/SIO_001114.rdf,,,,,,,,
10,Odontophrynus_americanus,yes,,,"snout to vent length - male",70,http://purl.obolibrary.org/obo/UO_0000016,,http://semanticscience.org/resource/SIO_001109.rdf,,,,,,,,
11,Oreophryne_amiatoi,yes,,,"snout to vent length - male",25.2,http://purl.obolibrary.org/obo/UO_0000016,,http://semanticscience.org/resource/SIO_001114.rdf,,,,,,,,
